Dealer Billing Statement for: April 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fort Worth Dealership Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/17/2026,3006,2/17/2026,9/17/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H88TL003006,,"$73,162.50 ","$73,162.50 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$302.70 ,$0.00 ,$0.00 ,$0.00 ,$302.70 ,$736.91 ,"$73,162.50 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/25/2026,3015,2/25/2026,9/25/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H89TL003015,,"$73,162.50 ","$73,162.50 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$302.70 ,$0.00 ,$0.00 ,$0.00 ,$302.70 ,$656.08 ,"$73,162.50 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/24/2026,3061,3/24/2026,10/24/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H85TL003061,A8042,"$73,162.50 ","$73,162.50 ",$0.00 ,,"($73,162.50)",$0.00 ,"($73,162.50)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$161.44 ,$0.00 ,$0.00 ,$0.00 ,$161.44 ,$242.21 ,"$39,020.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/9/2026,3144,1/9/2026,8/9/2027,2026 Acura INETEGRA,Automobile,INETEGRA,19UDE4H60TA003144,A7681,"$38,827.00 ","$38,827.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$38,827.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$160.64 ,$0.00 ,$0.00 ,$0.00 ,$160.64 ,$600.91 ,"$38,827.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/16/2025,3173,12/16/2025,7/16/2027,2026 Acura ACURAMDX,Automobile,ACURAMDX,5J8YD9H32TL003173,A7819,"$52,420.20 ","$52,420.20 ",$0.00 ,,"($52,420.20)",$0.00 ,"($52,420.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$57.83 ,$0.00 ,$0.00 ,$0.00 ,$57.83 ,$831.25 ,"$13,978.72 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/21/2025,3698,10/21/2025,5/21/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H32TA003698,A7717,"$36,354.90 ","$36,354.90 ",$0.00 ,,"($36,354.90)",$0.00 ,"($36,354.90)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$10.03 ,$0.00 ,$0.00 ,$0.00 ,$10.03 ,$845.52 ,"$2,423.66 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/24/2026,3836,3/24/2026,10/24/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H85TL003836,,"$73,162.50 ","$73,162.50 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$302.70 ,$0.00 ,$0.00 ,$0.00 ,$302.70 ,$383.47 ,"$73,162.50 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/22/2026,3976,1/22/2026,8/22/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H46TL003976,A7892,"$55,897.60 ","$55,897.60 ",$0.00 ,,"($55,897.60)",$0.00 ,"($55,897.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$69.38 ,$0.00 ,$0.00 ,$0.00 ,$69.38 ,$602.30 ,"$16,769.28 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,4/1/2026,4052,4/1/2026,11/1/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H89TL004052,,"$73,162.50 ",$0.00 ,"$73,162.50 ",4/1/2026,$0.00 ,$0.00 ,"$73,162.50 ","$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$302.70 ,$0.00 ,$0.00 ,$0.00 ,$302.70 ,$302.70 ,"$73,162.50 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/21/2026,4126,1/21/2026,8/21/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H48TL004126,,"$55,897.60 ","$55,897.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$55,897.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$231.27 ,$0.00 ,$0.00 ,$0.00 ,$231.27 ,$771.95 ,"$55,897.60 "
