Dealer Billing Statement for: February 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fort Worth Dealership Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/31/2025,1068,10/31/2025,5/31/2027,2026 Acura ACURARDXSHWDT,Automobile,ACURARDXSHWDT,5J8TC2H59TL001068,A7732,"$47,331.60 ","$47,331.60 ",$0.00 ,,"($47,331.60)",$0.00 ,"($47,331.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$26.18 ,$0.00 ,$0.00 ,$0.00 ,$26.18 ,$656.96 ,"$6,761.66 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/13/2026,1237,2/13/2026,9/13/2027,2026 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G96TA001237,,"$53,373.20 ",$0.00 ,"$53,373.20 ",2/13/2026,$0.00 ,$0.00 ,"$53,373.20 ","$53,373.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$117.93 ,$0.00 ,$0.00 ,$0.00 ,$117.93 ,$117.93 ,"$30,498.97 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,9/26/2025,1369,9/26/2025,4/26/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H63TA001369,,"$39,403.00 ","$39,403.00 ",$0.00 ,,"($39,403.00)",$0.00 ,"($39,403.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$136.06 ,$0.00 ,$0.00 ,$0.00 ,$136.06 ,$870.16 ,"$35,181.25 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/11/2025,1405,3/11/2025,10/11/2026,2025 Acura ACURATLXTE,Automobile,ACURATLXTE,19UUB5F45SA001405,A7196,"$44,987.00 ","$44,987.00 ",$0.00 ,,"($44,987.00)",$0.00 ,"($44,987.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$142.92 ,$0.00 ,$0.00 ,$0.00 ,$142.92 ,"$2,379.62 ","$36,953.61 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,11/4/2025,1412,11/4/2025,6/4/2027,2026 Acura ACURARDXSHWDT,Automobile,ACURARDXSHWDT,5J8TC2H59TL001412,A7741,"$47,331.60 ","$47,331.60 ",$0.00 ,,"($47,331.60)",$0.00 ,"($47,331.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$26.18 ,$0.00 ,$0.00 ,$0.00 ,$26.18 ,$628.59 ,"$6,761.66 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/24/2025,1591,3/24/2025,10/24/2026,2025 Acura ACURATLXTE,Automobile,ACURATLXTE,19UUB5F46SA001591,,"$44,415.80 ","$44,415.80 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$44,415.80 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$171.77 ,$0.00 ,$0.00 ,$0.00 ,$171.77 ,"$2,289.93 ","$44,415.80 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,4/1/2025,1728,4/1/2025,11/1/2026,2025 Acura ACURATLXTE,Automobile,ACURATLXTE,19UUB5F47SA001728,,"$44,987.00 ","$44,987.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$44,987.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$173.98 ,$0.00 ,$0.00 ,$0.00 ,$173.98 ,"$2,263.13 ","$44,987.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/5/2025,1774,12/5/2025,7/5/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H8XTL001774,,"$73,062.50 ","$73,062.50 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$73,062.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$282.56 ,$0.00 ,$0.00 ,$0.00 ,$282.56 ,$880.91 ,"$73,062.50 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/6/2025,1828,10/6/2025,5/6/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H69TA001828,,"$39,403.00 ","$39,403.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$39,403.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$152.38 ,$0.00 ,$0.00 ,$0.00 ,$152.38 ,$826.20 ,"$39,403.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,9/26/2025,1878,9/26/2025,4/26/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H35TA001878,,"$36,354.90 ","$36,354.90 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$36,354.90 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$140.60 ,$0.00 ,$0.00 ,$0.00 ,$140.60 ,$817.90 ,"$36,354.90 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/7/2025,1887,10/7/2025,5/7/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H48TL001887,,"$55,797.60 ","$55,797.60 ",$0.00 ,,"($55,797.60)",$0.00 ,"($55,797.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$192.67 ,$0.00 ,$0.00 ,$0.00 ,$192.67 ,"$1,138.44 ","$49,819.29 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/7/2025,1890,10/7/2025,5/7/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H48TL001890,A7647,"$55,797.60 ","$55,797.60 ",$0.00 ,,"($55,797.60)",$0.00 ,"($55,797.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$38.57 ,$0.00 ,$0.00 ,$0.00 ,$38.57 ,$984.34 ,"$9,963.86 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/6/2025,2420,10/6/2025,5/6/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H37TA002420,A7640,"$36,354.90 ","$36,354.90 ",$0.00 ,,"($36,354.90)",$0.00 ,"($36,354.90)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$110.48 ,$0.00 ,$0.00 ,$0.00 ,$110.48 ,$732.16 ,"$28,564.56 "
