Dealer Billing Statement for: February 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hiley Cars Fort Worth, LP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,53542,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMBSL4TB053542,B36276,"$29,518.00 ",$0.00 ,"$29,518.00 ",2/17/2026,"($29,518.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$36.69 ,$0.00 ,$0.00 ,$0.00 ,$36.69 ,$36.69 ,"$9,487.93 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,8/25/2025,55818,8/25/2025,3/25/2027,2026 Buick BUCK ENCOR G,Automobile,BUCK ENCOR G,KL4AMDSL2TB055818,B35287,"$29,319.90 ","$29,319.90 ",$0.00 ,,"($29,319.90)",$0.00 ,"($29,319.90)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$20.27 ,$0.00 ,$0.00 ,$0.00 ,$20.27 ,$712.41 ,"$5,235.70 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,8/21/2025,60457,8/21/2025,3/21/2027,2026 Buick BUCK ENCOR G,Automobile,BUCK ENCOR G,KL4AMBSL4TB060457,B35217,"$28,506.45 ","$28,506.45 ",$0.00 ,,"($28,506.45)",$0.00 ,"($28,506.45)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$31.52 ,$0.00 ,$0.00 ,$0.00 ,$31.52 ,$722.39 ,"$8,144.70 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,9/25/2025,60718,9/25/2025,4/25/2027,2026 Buick BUCK ENCOR G,Automobile,BUCK ENCOR G,KL4AMDSL1TB060718,B35494,"$28,859.55 ","$28,859.55 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$28,859.55 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$111.61 ,$0.00 ,$0.00 ,$0.00 ,$111.61 ,$653.76 ,"$28,859.55 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,10/2/2025,63117,10/2/2025,5/2/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LBEP1TB063117,B35519,"$29,496.80 ","$29,496.80 ",$0.00 ,,"($29,496.80)",$0.00 ,"($29,496.80)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$8.17 ,$0.00 ,$0.00 ,$0.00 ,$8.17 ,$530.41 ,"$2,106.91 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,10/3/2025,63551,10/3/2025,5/3/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LBEP6TB063551,B35520,"$29,496.80 ","$29,496.80 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$29,496.80 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$114.08 ,$0.00 ,$0.00 ,$0.00 ,$114.08 ,$631.87 ,"$29,496.80 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,10/3/2025,63742,10/3/2025,5/3/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LBEP2TB063742,,"$29,496.80 ","$29,496.80 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$29,496.80 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$114.08 ,$0.00 ,$0.00 ,$0.00 ,$114.08 ,$631.87 ,"$29,496.80 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,68648,2/17/2026,9/17/2027,2026 Buick ENVISTA,Automobile,ENVISTA,KL47LAEPXTB068648,B36263,"$26,925.61 ",$0.00 ,"$26,925.61 ",2/17/2026,$0.00 ,$0.00 ,"$26,925.61 ","$26,925.61 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$44.62 ,$0.00 ,$0.00 ,$0.00 ,$44.62 ,$44.62 ,"$11,539.55 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,68701,2/17/2026,9/17/2027,2026 Buick ENVISTA,Automobile,ENVISTA,KL47LAEPXTB068701,B36264,"$26,378.20 ",$0.00 ,"$26,378.20 ",2/17/2026,$0.00 ,$0.00 ,"$26,378.20 ","$26,378.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$43.71 ,$0.00 ,$0.00 ,$0.00 ,$43.71 ,$43.71 ,"$11,304.94 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,74637,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMDSL5TB074637,B36282,"$29,518.00 ",$0.00 ,"$29,518.00 ",2/17/2026,"($29,518.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$36.69 ,$0.00 ,$0.00 ,$0.00 ,$36.69 ,$36.69 ,"$9,487.93 "
